Repulsion,Sphericity,Free_Volume,Silhouette_Score,Inertia,Backbone_Angle,Plane_Angle,Mean_Distance,Density,FF
19.38878261,0.37,1273139.776,0.629,431.807,65,65,8.58,1.3934,78.16
14.47732143,0.3669,1291213.37,0.645,398.138,75,95,8.48,1.4083,78.27
15.2355814,0.3596,1358567.269,0.635,415.511,55,125,8.25,1.4049,80.07
9.6645,0.3588,1377036.272,0.608,401.956,85,65,8.16,1.4196,79.49
16.30223214,0.3684,1236091.595,0.667,396.751,75,125,8.22,1.4313,80.08
16.54090909,0.3485,1493363.099,0.611,380.069,55,95,8.27,1.406,80.3
16.72992248,0.3641,1232067.786,0.647,384.389,75,55,8.52,1.4004,74.04
16.87173913,0.3651,1243218.427,0.58,501.697,85,55,8.53,1.4159,74.85
12.35086207,0.3614,1279680.142,0.631,389.059,85,95,8.36,1.409,78.4
17.45157025,0.3522,1486417.077,0.667,356.174,85,85,8.13,1.403,81.5
