# FEAT_ID     Score                   Feature Expression
0             0.739325397685174135    ((Silhouette_Score^2) / (Plane_Angle * Free_Volume))
1             0.740515120659956505    ((Mean_Distance / Free_Volume) / cbrt(Plane_Angle))
2             0.741961002202443987    ((Silhouette_Score / Plane_Angle) * exp(Mean_Distance))
3             0.742755609001266026    (exp(Mean_Distance) / (Plane_Angle * Free_Volume))
4             0.743538967357603164    (exp(Mean_Distance) / (Plane_Angle^6))
5             0.743714700762229675    (exp(-1.0 * (Plane_Angle / Mean_Distance)))
6             0.754446114429402681    (exp(-1.0 * (Plane_Angle * Sphericity)))
7             0.759936122230610689    (|(Density * Inertia) - (Mean_Distance^3)|)
8             0.774903905053257902    ((Silhouette_Score / Free_Volume) / sqrt(Plane_Angle))
9             0.780657697039698673    ((Silhouette_Score / Free_Volume) / cbrt(Plane_Angle))
#-----------------------------------------------------------------------
0             0.739325397685174135    ((Silhouette_Score^2) / (Plane_Angle * Free_Volume))
1             0.740515120659956505    ((Mean_Distance / Free_Volume) / cbrt(Plane_Angle))
2             0.741961002202443987    ((Silhouette_Score / Plane_Angle) * exp(Mean_Distance))
3             0.742755609001266026    (exp(Mean_Distance) / (Plane_Angle * Free_Volume))
4             0.743538967357603164    (exp(Mean_Distance) / (Plane_Angle^6))
5             0.743714700762229675    (exp(-1.0 * (Plane_Angle / Mean_Distance)))
6             0.754446114429402681    (exp(-1.0 * (Plane_Angle * Sphericity)))
7             0.759936122230610689    (|(Density * Inertia) - (Mean_Distance^3)|)
8             0.774903905053257902    ((Silhouette_Score / Free_Volume) / sqrt(Plane_Angle))
9             0.780657697039698673    ((Silhouette_Score / Free_Volume) / cbrt(Plane_Angle))
#-----------------------------------------------------------------------
10            0.703863016319965507    ((Sphericity / Inertia) * (Sphericity^6))
11            0.703948958449713724    (ln(Inertia) / (Density * Mean_Distance))
12            0.704122639945131357    (|(Backbone_Angle / Mean_Distance) - sqrt(Plane_Angle)|)
13            0.711360160953243947    ((Sphericity^6) + (Silhouette_Score / Inertia))
14            0.712047352205746331    ((Silhouette_Score * Sphericity) + (1.0 / Plane_Angle))
15            0.712774444782321104    ((Sphericity^6) * (Mean_Distance / Inertia))
16            0.715319456949088495    ((Sphericity^3) + (Mean_Distance / Inertia))
17            0.738425225071936309    (|cbrt(Backbone_Angle) - exp(Density)|)
18            0.741406707642629392    ((Silhouette_Score * Sphericity) + (Density / Plane_Angle))
19            0.786640659697262157    (|(Density^6) - (Mean_Distance - Sphericity)|)
#-----------------------------------------------------------------------
10            0.703863016319965507    ((Sphericity / Inertia) * (Sphericity^6))
11            0.703948958449713724    (ln(Inertia) / (Density * Mean_Distance))
12            0.704122639945131357    (|(Backbone_Angle / Mean_Distance) - sqrt(Plane_Angle)|)
13            0.711360160953243947    ((Sphericity^6) + (Silhouette_Score / Inertia))
14            0.712047352205746331    ((Silhouette_Score * Sphericity) + (1.0 / Plane_Angle))
15            0.712774444782321104    ((Sphericity^6) * (Mean_Distance / Inertia))
16            0.715319456949088495    ((Sphericity^3) + (Mean_Distance / Inertia))
17            0.738425225071936309    (|cbrt(Backbone_Angle) - exp(Density)|)
18            0.741406707642629392    ((Silhouette_Score * Sphericity) + (Density / Plane_Angle))
19            0.786640659697262157    (|(Density^6) - (Mean_Distance - Sphericity)|)
#-----------------------------------------------------------------------
20            0.710356977948339852    (|sqrt(Silhouette_Score) - (Density - Silhouette_Score)|)
21            0.711044348166299578    ((Silhouette_Score / Inertia) / ln(Plane_Angle))
22            0.711267957058592137    ((Silhouette_Score / Mean_Distance) + (Silhouette_Score / Plane_Angle))
23            0.71128265883580033     (cbrt(Backbone_Angle) * (Silhouette_Score / Inertia))
24            0.713936654231756673    ((Mean_Distance / Silhouette_Score) + cbrt(Plane_Angle))
25            0.716767842220160434    (sqrt(Backbone_Angle) * (Silhouette_Score / Inertia))
