# c0 + a0 * ((Density / Free_Volume) / (Sphericity^6))
# Property Label: $Voc$; Unit of the Property: Unitless
# RMSE: 0.0177283217014764; Max AE: 0.0318037814703686
# Coefficients
# Task   a0                      c0
# all , -7.102616957284929e+02,  1.240792255304368e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         7|1|div|0|sp|div; ((Density / Free_Volume) / (Sphericity^6)); $\left(\frac{ \left(\frac{ Density }{ Free_{Volume} } \right) }{ \left(Sphericity^6\right) } \right)$; ((Density ./ Free_Volume) ./ (Sphericity).^6); Density,Free_Volume,Sphericity
# Number of Samples Per Task
# Task, n_samples               
# all , 10                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
19.38878261 ,  9.370000000000001e-01,  9.378165752826044e-01,  4.265690826970622e-04
14.47732143 ,  9.280000000000000e-01,  9.232296997055401e-01,  4.471064081149886e-04
15.2355814  ,  9.270000000000000e-01,  9.011164913826990e-01,  4.782402964491474e-04
9.6645      ,  9.230000000000000e-01,  8.976103363490907e-01,  4.831767234797676e-04
16.30223214 ,  8.800000000000000e-01,  9.118037814703686e-01,  4.631933212962667e-04
16.54090909 ,  8.660000000000000e-01,  8.675235294764869e-01,  5.255368944611756e-04
16.72992248 ,  9.080000000000000e-01,  8.942854090042699e-01,  4.878579942913809e-04
16.87173913 ,  8.980000000000000e-01,  8.992593603916016e-01,  4.808550101557519e-04
12.35086207 ,  8.750000000000000e-01,  8.897987608786639e-01,  4.941748886876135e-04
17.45157025 ,  8.700000000000000e-01,  8.895560560586750e-01,  4.945166005122107e-04
